model,train_fcn,delay,layers,mse,train_mse,test_mse
nar,trainbr,10,1,343056.2167699229,345973.5755808981,326835.7017809006
nar,trainbr,10,10,45672.45127340004,6038.949362851283,266034.72189605114
nar,trainbr,10,15,38518.33389692347,2.920390562476683e-10,252680.2703638165
nar,trainbr,10,20,110699.73187508652,2.2765941729371017e-09,726190.2411005556
nar,trainbr,10,25,65355.241479765245,1.0091481913674463e-17,428730.38410726
nar,trainbr,10,30,146442.78315768964,3.654113017111392e-11,960664.6575144441
nar,trainbr,10,35,33370.628451752826,2.198891566632145e-10,218911.32264349767
nar,trainbr,10,40,39796.7451734009,3.277568126759994e-07,261066.6483356877
nar,trainbr,10,5,80769.08601899806,53072.847227871716,234760.1736976605
nar,trainbr,15,1,116344.18305471215,115112.32845983905,123273.3651508733
nar,trainbr,15,10,56875.41660156844,2.342088924168659e-10,376799.63498539006
nar,trainbr,15,15,63557.616980556224,8.898828225307234e-08,421069.2124956843
nar,trainbr,15,20,114244.36459973465,108524.16622763652,146420.48044278607
nar,trainbr,15,25,56365.60868000088,1.7997498019611603e-06,373422.1574948822
nar,trainbr,15,30,113070.73298558596,111205.00204074297,123565.46955032725
nar,trainbr,15,35,55078.93131983215,16186.305867870613,273849.9494871157
nar,trainbr,15,40,113306.69690122805,114389.34862876745,107216.78093381911
nar,trainbr,15,5,44119.60627043054,13508.784787384266,216305.47711256595
nar,trainbr,1,1,455007.1368250393,441954.06895591295,528807.1743927929
nar,trainbr,1,10,426658.2386786781,390242.5266084836,632547.072306315
nar,trainbr,1,15,453379.8877341597,407148.34756868024,714765.9032851378
nar,trainbr,1,20,364178.2621541826,315262.4588994888,640740.6882480285
nar,trainbr,1,25,349458.8774034879,342973.074955517,386128.6066285546
nar,trainbr,1,30,337858.46385155583,332898.30735126697,365902.4256031887
nar,trainbr,1,35,542909.2178851261,244923.34774889282,2227675.483655369
nar,trainbr,1,40,503140.6596050775,260470.86365133297,1875158.352112786
nar,trainbr,1,5,457115.0319641133,391103.8415017196,830332.1472707231
nar,trainbr,20,1,96026.32130764367,90595.71667810193,126957.15637155547
nar,trainbr,20,10,60519.02583073376,5.661573273085281e-11,405214.346866652
nar,trainbr,20,15,39872.801222237045,1.2316940323368315e-24,266974.4081836741
nar,trainbr,20,20,43800.178710485496,7.141489350443869e-11,293270.76180064195
nar,trainbr,20,25,90354.78732150038,94124.85970731088,68881.76634144933
nar,trainbr,20,30,92785.95410177633,87635.24628326032,122122.59428549734
nar,trainbr,20,35,92926.7143039271,90943.62799656294,104221.68414152304
nar,trainbr,20,40,24292.384507634808,2.987526162309002e-11,162653.35713807648
nar,trainbr,20,5,26129.97487232201,3099.668677531728,157302.58841656242
nar,trainbr,25,1,78686.32970276318,67909.49531840753,140898.05546699802
nar,trainbr,25,10,74470.48640175813,76798.94612384982,61028.92346059247
nar,trainbr,25,15,75491.66860496452,70525.09850077247,104162.32329734592
nar,trainbr,25,20,74408.4661245212,65313.632796669444,126910.45851711973
nar,trainbr,25,25,74658.54224163468,69815.8911823031,102613.84608413973
